year,state,median_sale_price,homes_sold,population,migration_total,pop_change
2017,Florida,214818,1528154,20772371,566476,370796
2017,Georgia,202608,558740,10299497,278889,119637
2017,Hawaii,604881,65348,1410750,46457,492
2017,Idaho,224963,102882,1694182,71899,30426
2017,Illinois,210528,625772,12659328,195092,5186
2017,Indiana,139083,216518,6591598,142290,37514
2017,Iowa,164687,60818,3106880,77072,9597
2017,Kansas,162605,99190,2876925,86154,6396
2017,Kentucky,150257,148406,4404279,103985,19066
2017,Louisiana,185110,127664,4629962,72836,7920
2017,Maine,212461,77784,1322591,34252,3299
2017,Maryland,230877,345786,5988007,165654,38441
2017,Massachusetts,392615,321106,6789798,146299,44357
2017,Michigan,152966,522632,9851330,148787,37558
2017,Minnesota,209757,326034,5510902,115623,54998
2017,Mississippi,134228,57106,2946971,73549,-4110
2017,Missouri,145965,254916,6039877,164957,17712
2017,Nebraska,165032,73180,1894217,52507,11230
2017,Nevada,214192,225866,2963456,133074,56213
2017,New Hampshire,227750,93624,1330742,52893,8641
2017,New Jersey,282913,490490,8910191,152106,57905
2017,New Mexico,294179,11336,2062628,57255,4771
2017,New York,466367,567114,19638923,285252,112480
2017,North Carolina,197252,488456,10158556,313834,126149
2017,Ohio,131418,572848,11520109,198929,38357
2017,Oklahoma,133805,161320,3875922,101961,2690
2017,Oregon,308318,251334,4102048,149513,49827
2017,Pennsylvania,182035,501950,12674642,250120,29149
2017,Rhode Island,235931,61288,1048549,36850,2858
2017,South Carolina,209297,232980,4966211,166573,62423
2017,South Dakota,181645,18288,856726,26106,2894
2017,Tennessee,198363,333552,6642072,191909,61119
2017,Texas,223550,1125284,27924632,524511,452006
2017,Utah,275730,184976,3056193,99584,53949
2017,Vermont,213435,33076,619089,21868,-298
2017,Virginia,280968,471252,8372522,250490,60225
2017,Washington,387545,494972,7318811,260787,116692
2017,West Virginia,168266,17182,1798306,40007,-12403
2017,Wisconsin,164463,315304,5731549,112519,19445
2018,Alabama,191059,160470,4832358,109301,13015
2018,Alaska,282740,28638,727164,32099,-3710
2018,Arizona,228802,474540,7090137,273714,154779
2018,Arkansas,154758,109834,2975961,73179,7566
2018,California,600353,1430268,39114889,501023,28905
2018,Colorado,438515,317214,5633029,239153,90747
2018,Connecticut,274602,191392,3538203,84718,-18094
2018,Delaware,183890,39894,958770,34451,6321
2018,Florida,231292,1571780,21092877,587261,320506
2018,Georgia,219572,563740,10410462,274273,110965
2018,Hawaii,641251,63162,1403653,54074,-7097
2018,Idaho,255158,107052,1734756,79765,40574
2018,Illinois,216705,608490,12599244,206620,-60084
2018,Indiana,151267,218680,6612948,145256,21350
2018,Iowa,185867,59114,3119306,74199,12426
2018,Kansas,176562,98252,2874208,95748,-2717
2018,Kentucky,162382,145490,4414714,110456,10435
2018,Louisiana,197692,128472,4603081,81355,-26881
2018,Maine,238172,78348,1324095,34706,1504
2018,Maryland,243152,338516,5974521,163216,-13486
2018,Massachusetts,418950,321462,6834364,144042,44566
2018,Michigan,150951,602110,9891083,139276,39753
2018,Minnesota,229187,318934,5543490,100270,32588
2018,Mississippi,142738,58208,2955717,68000,8746
2018,Missouri,154278,256340,6053109,152326,13232
2018,Nebraska,180555,74106,1905843,54579,11626
2018,Nevada,249723,212446,3003761,127362,40305
2018,New Hampshire,241900,93410,1344750,48367,14008
2018,New Jersey,295233,491254,8815804,159846,-94387
2018,New Mexico,343010,12040,2072546,60068,9918
