current_state,year,population,from,from_different_state_Total
Massachusetts,2015,6725678,Alabama,132642
Michigan,2015,9811416,Alabama,142639
Minnesota,2015,5419822,Alabama,108476
Mississippi,2015,2959289,Alabama,69351
Missouri,2015,6015580,Alabama,159152
Montana,2015,1019646,Alabama,42760
Nebraska,2015,1869217,Alabama,52950
Nevada,2015,2859489,Alabama,135999
New Hampshire,2015,1318121,Alabama,53446
New Jersey,2015,8854363,Alabama,144074
New Mexico,2015,2060441,Alabama,55753
New York,2015,19570171,Alabama,257611
North Carolina,2015,9927547,Alabama,310612
North Dakota,2015,745291,Alabama,42618
Ohio,2015,11482142,Alabama,203475
Oklahoma,2015,3864908,Alabama,110878
Oregon,2015,3985712,Alabama,141162
Pennsylvania,2015,12662192,Alabama,232683
Rhode Island,2015,1045062,Alabama,38344
South Carolina,2015,4839984,Alabama,170366
South Dakota,2015,848285,Alabama,26962
Tennessee,2015,6522259,Alabama,195923
Texas,2015,27092848,Alabama,553032
Utah,2015,2947423,Alabama,97361
Vermont,2015,619952,Alabama,21232
Virginia,2015,8283737,Alabama,277715
Washington,2015,7089143,Alabama,230907
West Virginia,2015,1823753,Alabama,42078
Wisconsin,2015,5708201,Alabama,106511
Wyoming,2015,579102,Alabama,35947
Puerto Rico,2015,3443445,Alabama,24762
Alabama,2016,4810126,Alabama,122220
Alaska,2016,731760,Alabama,31300
Arizona,2016,6851836,Alabama,273257
Arkansas,2016,2949650,Alabama,71083
California,2016,38783436,Alabama,514758
Colorado,2016,5476928,Alabama,223260
Connecticut,2016,3541758,Alabama,75586
Delaware,2016,942073,Alabama,33400
District of Columbia ,2016,672022,Alabama,58154
Florida,2016,20401575,Alabama,605018
Georgia,2016,10179860,Alabama,305040
Hawaii,2016,1410258,Alabama,57229
Idaho,2016,1663756,Alabama,71556
Illinois,2016,12654142,Alabama,203713
Indiana,2016,6554084,Alabama,145782
Iowa,2016,3097283,Alabama,78263
Kansas,2016,2870529,Alabama,88830
Kentucky,2016,4385213,Alabama,113238
Louisiana,2016,4622042,Alabama,85371
Maine,2016,1319292,Alabama,38590
Maryland,2016,5949566,Alabama,158647
Massachusetts,2016,6745441,Alabama,149408
Michigan,2016,9813772,Alabama,155874
Minnesota,2016,5455904,Alabama,111307
Mississippi,2016,2951081,Alabama,64639
Missouri,2016,6022165,Alabama,162809
Montana,2016,1032794,Alabama,37775
Nebraska,2016,1882987,Alabama,51448
Nevada,2016,2907243,Alabama,117899
New Hampshire,2016,1322101,Alabama,52457
New Jersey,2016,8852286,Alabama,144359
New Mexico,2016,2057857,Alabama,64802
New York,2016,19526443,Alabama,260723
North Carolina,2016,10032407,Alabama,330896
North Dakota,2016,746271,Alabama,29655
Ohio,2016,11481752,Alabama,195396
Oklahoma,2016,3873232,Alabama,102000
Oregon,2016,4052221,Alabama,139334
Pennsylvania,2016,12645493,Alabama,252060
Rhode Island,2016,1045691,Alabama,32800
South Carolina,2016,4903788,Alabama,165230
South Dakota,2016,853832,Alabama,31789
Tennessee,2016,6580953,Alabama,170867
Texas,2016,27472626,Alabama,531996
Utah,2016,3002244,Alabama,107083
Vermont,2016,619387,Alabama,21262
Virginia,2016,8312297,Alabama,264164
Washington,2016,7202119,Alabama,257728
West Virginia,2016,1810709,Alabama,47196
Wisconsin,2016,5712104,Alabama,118814
Wyoming,2016,577567,Alabama,26471
Puerto Rico,2016,3384760,Alabama,21196
Alabama,2017,4819343,Alabama,111803
Alaska,2017,730874,Alabama,30199
Arizona,2017,6935358,Alabama,261727
Arkansas,2017,2968395,Alabama,79411
California,2017,39085984,Alabama,523131
Colorado,2017,5542282,Alabama,226933
Connecticut,2017,3556297,Alabama,83325
Delaware,2017,952449,Alabama,38532
District of Columbia ,2017,684810,Alabama,56231
Florida,2017,20772371,Alabama,566476
Georgia,2017,10299497,Alabama,278889
Hawaii,2017,1410750,Alabama,46457
Idaho,2017,1694182,Alabama,71899
Illinois,2017,12659328,Alabama,195092
Indiana,2017,6591598,Alabama,142290
Iowa,2017,3106880,Alabama,77072
Kansas,2017,2876925,Alabama,86154
Kentucky,2017,4404279,Alabama,103985
Louisiana,2017,4629962,Alabama,72836
Maine,2017,1322591,Alabama,34252
Maryland,2017,5988007,Alabama,165654
Massachusetts,2017,6789798,Alabama,146299
Michigan,2017,9851330,Alabama,148787
Minnesota,2017,5510902,Alabama,115623
Mississippi,2017,2946971,Alabama,73549
Missouri,2017,6039877,Alabama,164957
Montana,2017,1039170,Alabama,35456
Nebraska,2017,1894217,Alabama,52507
Nevada,2017,2963456,Alabama,133074
New Hampshire,2017,1330742,Alabama,52893
New Jersey,2017,8910191,Alabama,152106
New Mexico,2017,2062628,Alabama,57255
New York,2017,19638923,Alabama,285252
North Carolina,2017,10158556,Alabama,313834
North Dakota,2017,744641,Alabama,37315
Ohio,2017,11520109,Alabama,198929
Oklahoma,2017,3875922,Alabama,101961
Oregon,2017,4102048,Alabama,149513
Pennsylvania,2017,12674642,Alabama,250120
Rhode Island,2017,1048549,Alabama,36850
South Carolina,2017,4966211,Alabama,166573
South Dakota,2017,856726,Alabama,26106
Tennessee,2017,6642072,Alabama,191909
Texas,2017,27924632,Alabama,524511
Utah,2017,3056193,Alabama,99584
Vermont,2017,619089,Alabama,21868
Virginia,2017,8372522,Alabama,250490
Washington,2017,7318811,Alabama,260787
West Virginia,2017,1798306,Alabama,40007
Wisconsin,2017,5731549,Alabama,112519
Wyoming,2017,573483,Alabama,18511
Puerto Rico,2017,3313519,Alabama,20167
Alabama,2018,4832358,Alabama,109301
Alaska,2018,727164,Alabama,32099
Arizona,2018,7090137,Alabama,273714
Arkansas,2018,2975961,Alabama,73179
California,2018,39114889,Alabama,501023
Colorado,2018,5633029,Alabama,239153
Connecticut,2018,3538203,Alabama,84718
Delaware,2018,958770,Alabama,34451
District of Columbia ,2018,693798,Alabama,47555
Florida,2018,21092877,Alabama,587261
Georgia,2018,10410462,Alabama,274273
Hawaii,2018,1403653,Alabama,54074
Idaho,2018,1734756,Alabama,79765
Illinois,2018,12599244,Alabama,206620
Indiana,2018,6612948,Alabama,145256
Iowa,2018,3119306,Alabama,74199
Kansas,2018,2874208,Alabama,95748
Kentucky,2018,4414714,Alabama,110456
Louisiana,2018,4603081,Alabama,81355
Maine,2018,1324095,Alabama,34706
Maryland,2018,5974521,Alabama,163216
Massachusetts,2018,6834364,Alabama,144042
Michigan,2018,9891083,Alabama,139276
Minnesota,2018,5543490,Alabama,100270
Mississippi,2018,2955717,Alabama,68000
Missouri,2018,6053109,Alabama,152326
Montana,2018,1051757,Alabama,43375
Nebraska,2018,1905843,Alabama,54579
Nevada,2018,3003761,Alabama,127362
New Hampshire,2018,1344750,Alabama,48367
New Jersey,2018,8815804,Alabama,159846
New Mexico,2018,2072546,Alabama,60068
New York,2018,19329704,Alabama,254447
North Carolina,2018,10274540,Alabama,318681
North Dakota,2018,749825,Alabama,33735
Ohio,2018,11555163,Alabama,198026
Oklahoma,2018,3895983,Alabama,106943
Oregon,2018,4152756,Alabama,140627
Pennsylvania,2018,12674699,Alabama,253520
Rhode Island,2018,1047975,Alabama,32841
South Carolina,2018,5029034,Alabama,186505
South Dakota,2018,871271,Alabama,26775
Tennessee,2018,6692936,Alabama,209377
Texas,2018,28333482,Alabama,563945
Utah,2018,3114717,Alabama,100824
Vermont,2018,621681,Alabama,26306
Virginia,2018,8424340,Alabama,274003
Washington,2018,7453439,Alabama,260906
West Virginia,2018,1787630,Alabama,43841
Wisconsin,2018,5751525,Alabama,114613
Wyoming,2018,570867,Alabama,25734
Puerto Rico,2018,3173956,Alabama,20900
Alabama,2019,4849509,Alabama,104780
Alaska,2019,722063,Alabama,34031
Arizona,2019,7200620,Alabama,253295
Arkansas,2019,2989054,Alabama,59723
California,2019,39084048,Alabama,480204
Colorado,2019,5701658,Alabama,240600
Connecticut,2019,3531986,Alabama,90044
Delaware,2019,964817,Alabama,38014
District of Columbia ,2019,697556,Alabama,58879
Florida,2019,21269409,Alabama,601611
Georgia,2019,10499808,Alabama,284541
Hawaii,2019,1396819,Alabama,49708
Idaho,2019,1764327,Alabama,78730
Illinois,2019,12536539,Alabama,190627
Indiana,2019,6656971,Alabama,151443
Iowa,2019,3121385,Alabama,72651
Kansas,2019,2879518,Alabama,94648
Kentucky,2019,4421512,Alabama,100057
Louisiana,2019,4595111,Alabama,67640
Maine,2019,1331656,Alabama,36129
Maryland,2019,5979602,Alabama,141766
Massachusetts,2019,6828110,Alabama,144079
Michigan,2019,9880758,Alabama,132008
Minnesota,2019,5575235,Alabama,106920
Mississippi,2019,2943737,Alabama,61683
Missouri,2019,6069697,Alabama,152345
Montana,2019,1056994,Alabama,40862
Nebraska,2019,1910711,Alabama,46064
Nevada,2019,3048602,Alabama,132950
New Hampshire,2019,1350155,Alabama,50288
New Jersey,2019,8791672,Alabama,149260
New Mexico,2019,2073628,Alabama,55545
New York,2019,19240920,Alabama,254806
North Carolina,2019,10371906,Alabama,315215
North Dakota,2019,750501,Alabama,36668
Ohio,2019,11556037,Alabama,205542
Oklahoma,2019,3907258,Alabama,101844
Oregon,2019,4178578,Alabama,129921
Pennsylvania,2019,12670245,Alabama,267465
Rhode Island,2019,1050602,Alabama,34984
South Carolina,2019,5092727,Alabama,176008
South Dakota,2019,872708,Alabama,26934
Tennessee,2019,6754461,Alabama,196765
Texas,2019,28642658,Alabama,559661
Utah,2019,3162102,Alabama,95608
Vermont,2019,617560,Alabama,21212
Virginia,2019,8439982,Alabama,264855
Washington,2019,7527366,Alabama,231956
West Virginia,2019,1773280,Alabama,39548
Wisconsin,2019,5760481,Alabama,107973
Wyoming,2019,572884,Alabama,30247
Puerto Rico,2019,3175835,Alabama,31144
Alabama,2010,4729509,Alaska,108723
Alaska,2010,702974,Alaska,36326
Arizona,2010,6332786,Alaska,222725
Arkansas,2010,2888304,Alaska,79127
California,2010,36907897,Alaska,444749
Colorado,2010,4988190,Alaska,186366
Connecticut,2010,3541146,Alaska,77333
Delaware,2010,889812,Alaska,30759
District of Columbia ,2010,596747,Alaska,51244
Florida,2010,18647600,Alaska,482889
Georgia,2010,9587237,Alaska,249459
Hawaii,2010,1346274,Alaska,53581
Idaho,2010,1550967,Alaska,55638
Illinois,2010,12680126,Alaska,203959
Indiana,2010,6414862,Alaska,127353
Iowa,2010,3013053,Alaska,72557
Kansas,2010,2820894,Alaska,95059
Kentucky,2010,4296639,Alaska,118443
Louisiana,2010,4483529,Alaska,97889
Maine,2010,1313902,Alaska,27758
Maryland,2010,5716785,Alaska,164484
Massachusetts,2010,6489250,Alaska,140162
Michigan,2010,9762127,Alaska,116149
Minnesota,2010,5244256,Alaska,89872
Mississippi,2010,2931228,Alaska,72321
Missouri,2010,5920858,Alaska,145226
Montana,2010,978507,Alaska,35630
Nebraska,2010,1802697,Alaska,51290
Nevada,2010,2667364,Alaska,102677
New Hampshire,2010,1303865,Alaska,39367
New Jersey,2010,8709933,Alaska,127369
New Mexico,2010,2039549,Alaska,73605
New York,2010,19171916,Alaska,269427
North Carolina,2010,9443000,Alaska,263256
North Dakota,2010,665654,Alaska,30100
Ohio,2010,11405101,Alaska,172633
Oklahoma,2010,3716264,Alaska,106511
Oregon,2010,3794008,Alaska,116700
Pennsylvania,2010,12577555,Alaska,235580
Rhode Island,2010,1042240,Alaska,32059
South Carolina,2010,4577399,Alaska,152441
South Dakota,2010,805616,Alaska,25777
Tennessee,2010,6282706,Alaska,159778
Texas,2010,24899075,Alaska,486558
Utah,2010,2724064,Alaska,77780
Vermont,2010,619363,Alaska,22529
Virginia,2010,7930773,Alaska,259507
Washington,2010,6661321,Alaska,191784
West Virginia,2010,1833535,Alaska,39609
Wisconsin,2010,5623196,Alaska,93065
Wyoming,2010,556954,Alaska,28046
Puerto Rico,2010,3676493,Alaska,31732
Alabama,2011,4745278,Alaska,117726
Alaska,2011,711962,Alaska,35084
Arizona,2011,6402301,Alaska,222877
Arkansas,2011,2906632,Alaska,69845
California,2011,37222678,Alaska,468428
Colorado,2011,5048443,Alaska,202124
Connecticut,2011,3548667,Alaska,71502
Delaware,2011,897187,Alaska,33912
District of Columbia ,2011,611608,Alaska,48066
Florida,2011,18863948,Alaska,498597
Georgia,2011,9699859,Alaska,271077
Hawaii,2011,1357806,Alaska,57542
Idaho,2011,1559637,Alaska,60336
Illinois,2011,12718402,Alaska,216204
Indiana,2011,6437155,Alaska,127874
Iowa,2011,3027718,Alaska,70405
Kansas,2011,2833584,Alaska,83640
Kentucky,2011,4316297,Alaska,110031
Louisiana,2011,4518629,Alaska,99138
Maine,2011,1315833,Alaska,33818
Maryland,2011,5759087,Alaska,153979
Massachusetts,2011,6515057,Alaska,139830
Michigan,2011,9766574,Alaska,139158
Minnesota,2011,5277329,Alaska,101029
Mississippi,2011,2943021,Alaska,68511
Missouri,2011,5937896,Alaska,149439
Montana,2011,987076,Alaska,33553
Nebraska,2011,1817126,Alaska,52070
Nevada,2011,2688336,Alaska,110345
New Hampshire,2011,1305678,Alaska,37000
New Jersey,2011,8719952,Alaska,140194
New Mexico,2011,2055293,Alaska,62130
New York,2011,19248685,Alaska,282209
North Carolina,2011,9539412,Alaska,265291
North Dakota,2011,675161,Alaska,32510
Ohio,2011,11418944,Alaska,191778
Oklahoma,2011,3742698,Alaska,108878
Oregon,2011,3828714,Alaska,127906
Pennsylvania,2011,12610486,Alaska,234291
Rhode Island,2011,1040022,Alaska,26769
South Carolina,2011,4624180,Alaska,157644
South Dakota,2011,814175,Alaska,27506
Tennessee,2011,6333466,Alaska,170969
Texas,2011,25327104,Alaska,514726
Utah,2011,2769627,Alaska,85217
Vermont,2011,621354,Alaska,20463
Virginia,2011,7996552,Alaska,257130
Washington,2011,6748474,Alaska,208507
West Virginia,2011,1836614,Alaska,50068
Wisconsin,2011,5647213,Alaska,109439
Wyoming,2011,561389,Alaska,30651
Puerto Rico,2011,3669195,Alaska,22649
Alabama,2012,4764428,Alaska,104600
Alaska,2012,721186,Alaska,33415
Arizona,2012,6468907,Alaska,232457
Arkansas,2012,2912680,Alaska,76948
California,2012,37572738,Alaska,493641
Colorado,2012,5123944,Alaska,205060
Connecticut,2012,3555319,Alaska,80311
Delaware,2012,906576,Alaska,34757
District of Columbia ,2012,624847,Alaska,53830
Florida,2012,19114620,Alaska,537148
Georgia,2012,9796547,Alaska,277466
Hawaii,2012,1374852,Alaska,55145
Idaho,2012,1573036,Alaska,59283
Illinois,2012,12725119,Alaska,208755
Indiana,2012,6457067,Alaska,134137
Iowa,2012,3035469,Alaska,75760
Kansas,2012,2848708,Alaska,88284
Kentucky,2012,4328626,Alaska,112787
Louisiana,2012,4545914,Alaska,91215
Maine,2012,1315586,Alaska,27523
Maryland,2012,5816472,Alaska,154983
Massachusetts,2012,6580641,Alaska,142577
Michigan,2012,9778980,Alaska,133981
Minnesota,2012,5315228,Alaska,101042
Mississippi,2012,2947696,Alaska,73500
Missouri,2012,5951913,Alaska,162930
Montana,2012,995544,Alaska,37690
Nebraska,2012,1829420,Alaska,43266
Nevada,2012,2725280,Alaska,124285
New Hampshire,2012,1309203,Alaska,50484
New Jersey,2012,8772744,Alaska,130223
New Mexico,2012,2060595,Alaska,54693
New York,2012,19352153,Alaska,270053
North Carolina,2012,9640490,Alaska,273149
North Dakota,2012,689838,Alaska,38213
Ohio,2012,11414635,Alaska,196391
Oklahoma,2012,3762311,Alaska,108972
Oregon,2012,3857465,Alaska,118925
Pennsylvania,2012,12630082,Alaska,215500
Rhode Island,2012,1040527,Alaska,33446
South Carolina,2012,4668886,Alaska,156705
South Dakota,2012,821669,Alaska,26051
Tennessee,2012,6378278,Alaska,177098
Texas,2012,25711791,Alaska,507752
Utah,2012,2805440,Alaska,87870
Vermont,2012,620224,Alaska,24431
Virginia,2012,8085389,Alaska,250653
Washington,2012,6815763,Alaska,215494
West Virginia,2012,1837518,Alaska,47125
Wisconsin,2012,5660677,Alaska,99192
Wyoming,2012,569734,Alaska,31149
Puerto Rico,2012,3628402,Alaska,20044
Alabama,2013,4781296,Alaska,104102
Alaska,2013,725193,Alaska,34360
Arizona,2013,6543362,Alaska,236146
Arkansas,2013,2923642,Alaska,70621
California,2013,37873189,Alaska,485477
Colorado,2013,5206012,Alaska,206543
Connecticut,2013,3562959,Alaska,88351
Delaware,2013,914025,Alaska,36790
