current_state,year,population,from,number_of_people,from_different_state_Total
Connecticut,2010,3541146,Utah,0,77333
Connecticut,2010,3541146,Vermont,458,77333
Connecticut,2010,3541146,Virginia,1735,77333
Connecticut,2010,3541146,Washington,2084,77333
Connecticut,2010,3541146,West Virginia,442,77333
Connecticut,2010,3541146,Wisconsin,1092,77333
Connecticut,2010,3541146,Wyoming,47,77333
Connecticut,2010,3541146,abroad_PuertoRico,2027,77333
Connecticut,2010,3541146,abroad_USIslandArea,0,77333
Connecticut,2010,3541146,abroad_ForeignCountry,18140,77333
Delaware,2010,889812,Alabama,128,30759
Delaware,2010,889812,Alaska,68,30759
Delaware,2010,889812,Arizona,60,30759
Delaware,2010,889812,Arkansas,0,30759
Delaware,2010,889812,California,353,30759
Delaware,2010,889812,Colorado,178,30759
Delaware,2010,889812,Connecticut,714,30759
Delaware,2010,889812,Delaware,0,30759
Delaware,2010,889812,District of Columbia ,432,30759
Delaware,2010,889812,Florida,2362,30759
Delaware,2010,889812,Georgia,585,30759
Delaware,2010,889812,Hawaii,0,30759
Delaware,2010,889812,Idaho,0,30759
Delaware,2010,889812,Illinois,612,30759
Delaware,2010,889812,Indiana,0,30759
Delaware,2010,889812,Iowa,0,30759
Delaware,2010,889812,Kansas,28,30759
Delaware,2010,889812,Kentucky,163,30759
Delaware,2010,889812,Louisiana,0,30759
Delaware,2010,889812,Maine,294,30759
Delaware,2010,889812,Maryland,4969,30759
Delaware,2010,889812,Massachusetts,689,30759
Delaware,2010,889812,Michigan,61,30759
Delaware,2010,889812,Minnesota,55,30759
Delaware,2010,889812,Mississippi,0,30759
Delaware,2010,889812,Missouri,539,30759
Delaware,2010,889812,Montana,73,30759
Delaware,2010,889812,Nebraska,0,30759
Delaware,2010,889812,Nevada,106,30759
Delaware,2010,889812,New Hampshire,139,30759
Delaware,2010,889812,New Jersey,3678,30759
Delaware,2010,889812,New Mexico,59,30759
Delaware,2010,889812,New York,4251,30759
Delaware,2010,889812,North Carolina,424,30759
Delaware,2010,889812,North Dakota,0,30759
Delaware,2010,889812,Ohio,325,30759
Delaware,2010,889812,Oklahoma,0,30759
Delaware,2010,889812,Oregon,0,30759
Delaware,2010,889812,Pennsylvania,7318,30759
Delaware,2010,889812,Rhode Island,149,30759
Delaware,2010,889812,South Carolina,195,30759
Delaware,2010,889812,South Dakota,0,30759
Delaware,2010,889812,Tennessee,146,30759
Delaware,2010,889812,Texas,178,30759
Delaware,2010,889812,Utah,0,30759
Delaware,2010,889812,Vermont,0,30759
Delaware,2010,889812,Virginia,1051,30759
Delaware,2010,889812,Washington,377,30759
Delaware,2010,889812,West Virginia,0,30759
Delaware,2010,889812,Wisconsin,0,30759
Delaware,2010,889812,Wyoming,0,30759
Delaware,2010,889812,abroad_PuertoRico,954,30759
Delaware,2010,889812,abroad_USIslandArea,431,30759
Delaware,2010,889812,abroad_ForeignCountry,3027,30759
District of Columbia ,2010,596747,Alabama,360,51244
District of Columbia ,2010,596747,Alaska,591,51244
District of Columbia ,2010,596747,Arizona,662,51244
District of Columbia ,2010,596747,Arkansas,155,51244
District of Columbia ,2010,596747,California,4205,51244
District of Columbia ,2010,596747,Colorado,656,51244
District of Columbia ,2010,596747,Connecticut,926,51244
District of Columbia ,2010,596747,Delaware,0,51244
District of Columbia ,2010,596747,District of Columbia ,0,51244
District of Columbia ,2010,596747,Florida,1100,51244
District of Columbia ,2010,596747,Georgia,1597,51244
District of Columbia ,2010,596747,Hawaii,0,51244
District of Columbia ,2010,596747,Idaho,0,51244
District of Columbia ,2010,596747,Illinois,615,51244
District of Columbia ,2010,596747,Indiana,711,51244
District of Columbia ,2010,596747,Iowa,392,51244
District of Columbia ,2010,596747,Kansas,83,51244
District of Columbia ,2010,596747,Kentucky,94,51244
District of Columbia ,2010,596747,Louisiana,0,51244
District of Columbia ,2010,596747,Maine,76,51244
District of Columbia ,2010,596747,Maryland,13503,51244
District of Columbia ,2010,596747,Massachusetts,1376,51244
District of Columbia ,2010,596747,Michigan,126,51244
District of Columbia ,2010,596747,Minnesota,87,51244
District of Columbia ,2010,596747,Mississippi,0,51244
District of Columbia ,2010,596747,Missouri,272,51244
District of Columbia ,2010,596747,Montana,0,51244
District of Columbia ,2010,596747,Nebraska,62,51244
District of Columbia ,2010,596747,Nevada,0,51244
District of Columbia ,2010,596747,New Hampshire,137,51244
District of Columbia ,2010,596747,New Jersey,1924,51244
District of Columbia ,2010,596747,New Mexico,61,51244
District of Columbia ,2010,596747,New York,3852,51244
District of Columbia ,2010,596747,North Carolina,1897,51244
District of Columbia ,2010,596747,North Dakota,98,51244
District of Columbia ,2010,596747,Ohio,598,51244
District of Columbia ,2010,596747,Oklahoma,0,51244
District of Columbia ,2010,596747,Oregon,601,51244
District of Columbia ,2010,596747,Pennsylvania,2378,51244
District of Columbia ,2010,596747,Rhode Island,249,51244
District of Columbia ,2010,596747,South Carolina,380,51244
District of Columbia ,2010,596747,South Dakota,0,51244
District of Columbia ,2010,596747,Tennessee,591,51244
District of Columbia ,2010,596747,Texas,1180,51244
District of Columbia ,2010,596747,Utah,0,51244
District of Columbia ,2010,596747,Vermont,199,51244
District of Columbia ,2010,596747,Virginia,7915,51244
District of Columbia ,2010,596747,Washington,284,51244
District of Columbia ,2010,596747,West Virginia,860,51244
District of Columbia ,2010,596747,Wisconsin,391,51244
District of Columbia ,2010,596747,Wyoming,0,51244
District of Columbia ,2010,596747,abroad_PuertoRico,0,51244
District of Columbia ,2010,596747,abroad_USIslandArea,62,51244
District of Columbia ,2010,596747,abroad_ForeignCountry,6999,51244
Florida,2010,18647600,Alabama,15830,482889
Florida,2010,18647600,Alaska,5887,482889
Florida,2010,18647600,Arizona,3907,482889
Florida,2010,18647600,Arkansas,3611,482889
Florida,2010,18647600,California,22130,482889
Florida,2010,18647600,Colorado,6428,482889
Florida,2010,18647600,Connecticut,11183,482889
Florida,2010,18647600,Delaware,3099,482889
Florida,2010,18647600,District of Columbia ,1110,482889
Florida,2010,18647600,Florida,0,482889
Florida,2010,18647600,Georgia,35615,482889
Florida,2010,18647600,Hawaii,2021,482889
Florida,2010,18647600,Idaho,884,482889
Florida,2010,18647600,Illinois,17432,482889
Florida,2010,18647600,Indiana,9030,482889
Florida,2010,18647600,Iowa,2921,482889
Florida,2010,18647600,Kansas,4136,482889
Florida,2010,18647600,Kentucky,6321,482889
Florida,2010,18647600,Louisiana,7232,482889
Florida,2010,18647600,Maine,5497,482889
Florida,2010,18647600,Maryland,13241,482889
Florida,2010,18647600,Massachusetts,13900,482889
Florida,2010,18647600,Michigan,21359,482889
Florida,2010,18647600,Minnesota,5439,482889
Florida,2010,18647600,Mississippi,7929,482889
Florida,2010,18647600,Missouri,7984,482889
Florida,2010,18647600,Montana,338,482889
Florida,2010,18647600,Nebraska,1544,482889
Florida,2010,18647600,Nevada,7050,482889
Florida,2010,18647600,New Hampshire,3645,482889
Florida,2010,18647600,New Jersey,22344,482889
Florida,2010,18647600,New Mexico,900,482889
Florida,2010,18647600,New York,55011,482889
Florida,2010,18647600,North Carolina,19108,482889
Florida,2010,18647600,North Dakota,794,482889
Florida,2010,18647600,Ohio,21047,482889
Florida,2010,18647600,Oklahoma,3466,482889
Florida,2010,18647600,Oregon,1655,482889
Florida,2010,18647600,Pennsylvania,19935,482889
Florida,2010,18647600,Rhode Island,1982,482889
Florida,2010,18647600,South Carolina,10759,482889
Florida,2010,18647600,South Dakota,430,482889
Florida,2010,18647600,Tennessee,12882,482889
Florida,2010,18647600,Texas,24039,482889
Florida,2010,18647600,Utah,2833,482889
Florida,2010,18647600,Vermont,1442,482889
Florida,2010,18647600,Virginia,20080,482889
Florida,2010,18647600,Washington,3573,482889
Florida,2010,18647600,West Virginia,5634,482889
Florida,2010,18647600,Wisconsin,8081,482889
Florida,2010,18647600,Wyoming,191,482889
Florida,2010,18647600,abroad_PuertoRico,12968,482889
Florida,2010,18647600,abroad_USIslandArea,1131,482889
Florida,2010,18647600,abroad_ForeignCountry,137074,482889
Georgia,2010,9587237,Alabama,13840,249459
Georgia,2010,9587237,Alaska,3645,249459
Georgia,2010,9587237,Arizona,2554,249459
Georgia,2010,9587237,Arkansas,599,249459
Georgia,2010,9587237,California,8909,249459
Georgia,2010,9587237,Colorado,3224,249459
Georgia,2010,9587237,Connecticut,2619,249459
Georgia,2010,9587237,Delaware,837,249459
Georgia,2010,9587237,District of Columbia ,1708,249459
Georgia,2010,9587237,Florida,49901,249459
Georgia,2010,9587237,Georgia,0,249459
Georgia,2010,9587237,Hawaii,1040,249459
Georgia,2010,9587237,Idaho,414,249459
Georgia,2010,9587237,Illinois,9736,249459
Georgia,2010,9587237,Indiana,2649,249459
Georgia,2010,9587237,Iowa,1096,249459
Georgia,2010,9587237,Kansas,1355,249459
Georgia,2010,9587237,Kentucky,6525,249459
Georgia,2010,9587237,Louisiana,3645,249459
Georgia,2010,9587237,Maine,0,249459
Georgia,2010,9587237,Maryland,5382,249459
Georgia,2010,9587237,Massachusetts,3910,249459
Georgia,2010,9587237,Michigan,6857,249459
Georgia,2010,9587237,Minnesota,1169,249459
Georgia,2010,9587237,Mississippi,2380,249459
Georgia,2010,9587237,Missouri,3072,249459
Georgia,2010,9587237,Montana,52,249459
Georgia,2010,9587237,Nebraska,148,249459
Georgia,2010,9587237,Nevada,1155,249459
Georgia,2010,9587237,New Hampshire,162,249459
Georgia,2010,9587237,New Jersey,4151,249459
Georgia,2010,9587237,New Mexico,826,249459
Georgia,2010,9587237,New York,12472,249459
Georgia,2010,9587237,North Carolina,15361,249459
Georgia,2010,9587237,North Dakota,0,249459
Georgia,2010,9587237,Ohio,9323,249459
Georgia,2010,9587237,Oklahoma,2070,249459
Georgia,2010,9587237,Oregon,843,249459
Georgia,2010,9587237,Pennsylvania,6294,249459
Georgia,2010,9587237,Rhode Island,43,249459
Georgia,2010,9587237,South Carolina,15562,249459
Georgia,2010,9587237,South Dakota,557,249459
Georgia,2010,9587237,Tennessee,14445,249459
Georgia,2010,9587237,Texas,11424,249459
Georgia,2010,9587237,Utah,380,249459
Georgia,2010,9587237,Vermont,361,249459
Georgia,2010,9587237,Virginia,8393,249459
Georgia,2010,9587237,Washington,4495,249459
Georgia,2010,9587237,West Virginia,358,249459
Georgia,2010,9587237,Wisconsin,3416,249459
Georgia,2010,9587237,Wyoming,102,249459
Georgia,2010,9587237,abroad_PuertoRico,1010,249459
Georgia,2010,9587237,abroad_USIslandArea,376,249459
Georgia,2010,9587237,abroad_ForeignCountry,42435,249459
Hawaii,2010,1346274,Alabama,749,53581
Hawaii,2010,1346274,Alaska,743,53581
Hawaii,2010,1346274,Arizona,1398,53581
Hawaii,2010,1346274,Arkansas,0,53581
Hawaii,2010,1346274,California,12677,53581
Hawaii,2010,1346274,Colorado,1073,53581
Hawaii,2010,1346274,Connecticut,307,53581
