current_state,year,population,from_different_state_Total
Tennessee,2015-01-01,6522259,195923
Texas,2015-01-01,27092848,553032
Utah,2015-01-01,2947423,97361
Vermont,2015-01-01,619952,21232
Virginia,2015-01-01,8283737,277715
Washington,2015-01-01,7089143,230907
West Virginia,2015-01-01,1823753,42078
Wisconsin,2015-01-01,5708201,106511
Wyoming,2015-01-01,579102,35947
Puerto Rico,2015-01-01,3443445,24762
Alabama,2016-01-01,4810126,122220
Alaska,2016-01-01,731760,31300
Arizona,2016-01-01,6851836,273257
Arkansas,2016-01-01,2949650,71083
California,2016-01-01,38783436,514758
Colorado,2016-01-01,5476928,223260
Connecticut,2016-01-01,3541758,75586
Delaware,2016-01-01,942073,33400
District of Columbia ,2016-01-01,672022,58154
Florida,2016-01-01,20401575,605018
Georgia,2016-01-01,10179860,305040
Hawaii,2016-01-01,1410258,57229
Idaho,2016-01-01,1663756,71556
Illinois,2016-01-01,12654142,203713
Indiana,2016-01-01,6554084,145782
Iowa,2016-01-01,3097283,78263
Kansas,2016-01-01,2870529,88830
Kentucky,2016-01-01,4385213,113238
Louisiana,2016-01-01,4622042,85371
Maine,2016-01-01,1319292,38590
Maryland,2016-01-01,5949566,158647
Massachusetts,2016-01-01,6745441,149408
Michigan,2016-01-01,9813772,155874
Minnesota,2016-01-01,5455904,111307
Mississippi,2016-01-01,2951081,64639
Missouri,2016-01-01,6022165,162809
Montana,2016-01-01,1032794,37775
Nebraska,2016-01-01,1882987,51448
Nevada,2016-01-01,2907243,117899
New Hampshire,2016-01-01,1322101,52457
New Jersey,2016-01-01,8852286,144359
New Mexico,2016-01-01,2057857,64802
New York,2016-01-01,19526443,260723
North Carolina,2016-01-01,10032407,330896
North Dakota,2016-01-01,746271,29655
Ohio,2016-01-01,11481752,195396
Oklahoma,2016-01-01,3873232,102000
Oregon,2016-01-01,4052221,139334
Pennsylvania,2016-01-01,12645493,252060
Rhode Island,2016-01-01,1045691,32800
South Carolina,2016-01-01,4903788,165230
South Dakota,2016-01-01,853832,31789
Tennessee,2016-01-01,6580953,170867
Texas,2016-01-01,27472626,531996
Utah,2016-01-01,3002244,107083
Vermont,2016-01-01,619387,21262
Virginia,2016-01-01,8312297,264164
Washington,2016-01-01,7202119,257728
West Virginia,2016-01-01,1810709,47196
Wisconsin,2016-01-01,5712104,118814
