year,state,median_sale_price,homes_sold
2021-05-01,Nevada,401100,4088
2017-02-01,Tennessee,208900,4656
2014-04-01,Ohio,118800,10041
2015-09-01,Minnesota,204200,7207
2016-09-01,New Mexico,435500,4
2015-08-01,Oregon,286100,5291
2014-10-01,Rhode Island,162300,140
2013-11-01,Virginia,154800,16
2015-04-01,Pennsylvania,100300,178
2015-08-01,Nebraska,163700,1455
2018-02-01,Rhode Island,255900,818
2017-01-01,Georgia,208200,569
2020-01-01,Florida,283700,320
2020-05-01,Tennessee,257500,279
2020-12-01,Utah,476900,3162
2014-03-01,Tennessee,169900,124
2015-05-01,New Hampshire,178000,174
2019-02-01,Wisconsin,188700,3235
2020-11-01,Missouri,171200,81
2013-05-01,New York,118600,328
2012-07-01,Rhode Island,195700,1001
2021-06-01,Kentucky,239900,4102
2013-10-01,Mississippi,105100,2
2014-11-01,Massachusetts,336800,3599
2018-06-01,Missouri,189500,6781
2016-07-01,New Hampshire,187000,176
2015-08-01,Connecticut,145200,106
2017-01-01,Texas,217200,13755
2020-03-01,Wisconsin,194300,545
2019-03-01,Idaho,303000,23
2017-11-01,New Mexico,367500,4
2017-02-01,Delaware,152800,146
2015-10-01,California,600900,1073
2014-12-01,Washington,309800,5872
2013-05-01,Tennessee,138800,2743
2014-04-01,Missouri,139200,3825
2019-02-01,Ohio,142900,767
2020-12-01,Georgia,273900,69
2013-09-01,Virginia,330400,1294
2020-08-01,Pennsylvania,251000,14324
2021-07-01,South Carolina,250200,540
2021-07-01,Alaska,358400,745
2012-12-01,Vermont,200500,359
2013-10-01,New Jersey,192300,612
2019-04-01,Columbia,725000,381
2014-11-01,Virginia,171600,28
2015-10-01,Alabama,162000,2327
2012-04-01,New Jersey,235500,424
2021-09-01,Missouri,171600,85
2016-07-01,California,423400,5143
2020-10-01,Kansas,188800,31
2012-11-01,South Carolina,144900,11
2015-06-01,Indiana,159000,5554
2013-02-01,Columbia,482600,197
2018-01-01,New Mexico,350800,151
2021-09-01,Colorado,471100,1037
2014-01-01,Illinois,149300,667
2012-02-01,Texas,151400,12569
2020-07-01,New Hampshire,259500,327
2016-07-01,Michigan,92000,133
2020-05-01,Ohio,158800,934
2017-12-01,Virginia,239900,40
2012-07-01,Illinois,149600,957
2020-05-01,New Hampshire,308700,1636
2012-02-01,Florida,121000,18871
2018-04-01,Columbia,589000,805
2021-05-01,Massachusetts,547500,7604
2012-12-01,Massachusetts,296500,954
2018-08-01,Florida,245200,36236
2014-09-01,Florida,197700,18463
2014-01-01,Oregon,209100,87
2016-07-01,Delaware,142500,8
2021-06-01,Wisconsin,268600,7745
2016-09-01,Idaho,215800,2208
2018-05-01,Maryland,237900,2722
2020-03-01,Indiana,176100,54
2012-11-01,Pennsylvania,176500,412
2014-08-01,Louisiana,179200,2650
2015-12-01,Florida,174000,2454
2013-03-01,New York,198600,4603
2016-08-01,Arkansas,156200,2410
2022-05-01,Rhode Island,352300,209
2018-06-01,Indiana,185700,5896
2018-02-01,Michigan,161000,7975
2015-03-01,Rhode Island,207200,832
2019-10-01,Kentucky,195600,2911
2021-05-01,Georgia,331000,12269
2016-09-01,Wisconsin,171100,7277
2020-12-01,West Virginia,192900,51
2019-06-01,Colorado,434500,8070
2021-08-01,Maine,316800,173
2019-12-01,New Jersey,286900,1100
2012-07-01,Indiana,120200,201
2021-05-01,Utah,458500,4023
2019-10-01,Virginia,330400,7429
