period_begin,period_end,state,property_type,median_sale_price,homes_sold
2012-03-01,2012-03-31,Delaware,All Residential,171300,633
2012-05-01,2012-05-31,West Virginia,Townhouse,104000,27
2017-08-01,2017-08-31,Delaware,Townhouse,171700,217
2021-10-01,2021-10-31,New Mexico,All Residential,475300,330
2021-06-01,2021-06-30,Florida,All Residential,341100,50585
2017-11-01,2017-11-30,Mississippi,Townhouse,114700,14
2013-02-01,2013-02-28,Missouri,Condo/Co-op,158100,32
2015-04-01,2015-04-30,Virginia,Townhouse,321300,1723
2013-11-01,2013-11-30,Vermont,Single Family Residential,196300,414
2019-11-01,2019-11-30,Connecticut,Single Family Residential,284700,2742
2014-10-01,2014-10-31,Rhode Island,Single Family Residential,238500,857
2013-01-01,2013-01-31,Louisiana,Townhouse,138300,7
2020-03-01,2020-03-31,Alabama,Single Family Residential,224800,3316
2019-12-01,2019-12-31,Colorado,Condo/Co-op,303100,910
2016-05-01,2016-05-31,New York,Townhouse,353800,369
2020-06-01,2020-06-30,Massachusetts,Multi-Family (2-4 Unit),529100,346
2019-08-01,2019-08-31,Indiana,All Residential,199100,5495
2021-06-01,2021-06-30,New Mexico,Townhouse,337300,18
2016-01-01,2016-01-31,South Carolina,All Residential,195700,2881
2015-06-01,2015-06-30,Florida,Single Family Residential,221100,24313
2012-09-01,2012-09-30,Minnesota,All Residential,164000,5620
2012-11-01,2012-11-30,Utah,All Residential,206400,2679
2013-08-01,2013-08-31,Illinois,Multi-Family (2-4 Unit),147200,482
2014-10-01,2014-10-31,Arkansas,Townhouse,88700,11
2015-03-01,2015-03-31,Alaska,All Residential,264600,555
2022-02-01,2022-02-28,New Mexico,Condo/Co-op,365900,23
2020-09-01,2020-09-30,New Hampshire,All Residential,326300,2549
2014-02-01,2014-02-28,Maryland,Single Family Residential,303100,2058
2021-01-01,2021-01-31,Delaware,Single Family Residential,293100,529
2012-11-01,2012-11-30,Ohio,All Residential,111400,8667
2018-08-01,2018-08-31,Georgia,Multi-Family (2-4 Unit),210900,72
2014-11-01,2014-11-30,Washington,Townhouse,330600,334
2012-09-01,2012-09-30,Columbia,Multi-Family (2-4 Unit),400000,5
2014-07-01,2014-07-31,Idaho,Townhouse,147100,49
2014-03-01,2014-03-31,Minnesota,Condo/Co-op,148500,204
2013-05-01,2013-05-31,South Dakota,All Residential,161200,428
2019-11-01,2019-11-30,Kansas,Single Family Residential,227600,1729
2021-11-01,2021-11-30,Florida,Multi-Family (2-4 Unit),437300,514
2018-11-01,2018-11-30,Oklahoma,Townhouse,126000,20
2015-08-01,2015-08-31,Maryland,Single Family Residential,323900,4578
2019-01-01,2019-01-31,Florida,Condo/Co-op,176000,4982
2016-09-01,2016-09-30,Wisconsin,Single Family Residential,174600,6145
2016-08-01,2016-08-31,Louisiana,Multi-Family (2-4 Unit),166300,116
2017-12-01,2017-12-31,Arkansas,Multi-Family (2-4 Unit),155500,23
2013-06-01,2013-06-30,Tennessee,All Residential,141500,2853
2012-06-01,2012-06-30,Kansas,Townhouse,134400,77
2016-06-01,2016-06-30,North Carolina,All Residential,220800,12662
2018-06-01,2018-06-30,Michigan,Multi-Family (2-4 Unit),95400,238
2015-10-01,2015-10-31,Oregon,Single Family Residential,275900,4820
2014-01-01,2014-01-31,Arizona,All Residential,187100,5939
2018-04-01,2018-04-30,Vermont,Single Family Residential,232900,440
2020-09-01,2020-09-30,Tennessee,Condo/Co-op,252900,380
2012-03-01,2012-03-31,North Carolina,Single Family Residential,200200,1889
2021-01-01,2021-01-31,Maryland,Condo/Co-op,214300,487
2019-09-01,2019-09-30,Indiana,All Residential,189300,4776
2019-09-01,2019-09-30,Pennsylvania,All Residential,216600,10647
2012-09-01,2012-09-30,Utah,All Residential,199400,2763
2014-11-01,2014-11-30,Maine,Multi-Family (2-4 Unit),66500,5
2021-05-01,2021-05-31,South Dakota,Townhouse,247700,41
2021-04-01,2021-04-30,Georgia,Single Family Residential,319100,12324
2012-06-01,2012-06-30,Arkansas,Condo/Co-op,111700,10
2017-01-01,2017-01-31,Massachusetts,Multi-Family (2-4 Unit),411500,433
2021-03-01,2021-03-31,South Dakota,All Residential,241100,338
2013-05-01,2013-05-31,New Hampshire,Single Family Residential,214300,1342
2016-10-01,2016-10-31,Utah,Multi-Family (2-4 Unit),290600,38
2022-02-01,2022-02-28,South Dakota,All Residential,272700,222
2013-06-01,2013-06-30,Maine,All Residential,151100,409
2012-07-01,2012-07-31,Nevada,Condo/Co-op,62700,440
2016-07-01,2016-07-31,Arizona,Townhouse,162500,752
2012-11-01,2012-11-30,Florida,Single Family Residential,159100,15006
2020-01-01,2020-01-31,Colorado,Townhouse,393000,449
2021-01-01,2021-01-31,Wisconsin,All Residential,217200,4431
2019-02-01,2019-02-28,Louisiana,Townhouse,175800,33
2012-11-01,2012-11-30,Rhode Island,Condo/Co-op,189600,122
2014-11-01,2014-11-30,South Carolina,Townhouse,179000,161
2020-01-01,2020-01-31,Massachusetts,Multi-Family (2-4 Unit),513300,463
2017-02-01,2017-02-28,Kansas,Multi-Family (2-4 Unit),144300,18
2022-03-01,2022-03-31,Pennsylvania,Single Family Residential,295900,5634
2015-11-01,2015-11-30,Iowa,All Residential,174300,900
2017-12-01,2017-12-31,Rhode Island,Condo/Co-op,244100,158
2022-03-01,2022-03-31,Louisiana,All Residential,253100,4056
2012-11-01,2012-11-30,North Carolina,Townhouse,171400,235
2020-08-01,2020-08-31,Colorado,Multi-Family (2-4 Unit),888100,87
2022-01-01,2022-01-31,New Jersey,Multi-Family (2-4 Unit),505300,692
2018-12-01,2018-12-31,Alabama,Multi-Family (2-4 Unit),205700,7
2018-09-01,2018-09-30,New Hampshire,Condo/Co-op,227900,226
2017-05-01,2017-05-31,Oregon,All Residential,332900,5874
2022-03-01,2022-03-31,West Virginia,Multi-Family (2-4 Unit),247300,4
2019-01-01,2019-01-31,Missouri,Multi-Family (2-4 Unit),126600,74
2022-03-01,2022-03-31,California,Multi-Family (2-4 Unit),1028800,1185
2018-05-01,2018-05-31,South Carolina,Single Family Residential,248900,4902
2017-01-01,2017-01-31,Virginia,Condo/Co-op,237600,659
2013-07-01,2013-07-31,North Carolina,Townhouse,159400,524
2020-09-01,2020-09-30,New Mexico,Single Family Residential,512900,255
2018-07-01,2018-07-31,West Virginia,Single Family Residential,208500,396
2015-04-01,2015-04-30,Illinois,Single Family Residential,185300,8471
2018-11-01,2018-11-30,Ohio,Condo/Co-op,138100,1075
2019-11-01,2019-11-30,Washington,Townhouse,492800,524
2020-11-01,2020-11-30,Texas,Townhouse,264400,744
2017-03-01,2017-03-31,Alaska,All Residential,270500,520
2022-02-01,2022-02-28,Arkansas,Single Family Residential,234700,2152
2012-10-01,2012-10-31,Oklahoma,All Residential,139400,2723
2013-07-01,2013-07-31,Indiana,Multi-Family (2-4 Unit),57400,45
2020-10-01,2020-10-31,Massachusetts,Single Family Residential,487400,6255
2017-07-01,2017-07-31,West Virginia,All Residential,190100,391
2018-11-01,2018-11-30,Massachusetts,Townhouse,364600,608
2015-05-01,2015-05-31,Missouri,Single Family Residential,165800,5157
2018-01-01,2018-01-31,Minnesota,Townhouse,200100,510
2017-01-01,2017-01-31,North Carolina,All Residential,206600,6830
2019-04-01,2019-04-30,Rhode Island,Single Family Residential,286100,818
2012-06-01,2012-06-30,Georgia,Multi-Family (2-4 Unit),36500,56
2014-09-01,2014-09-30,South Dakota,Multi-Family (2-4 Unit),150000,3
2013-07-01,2013-07-31,Columbia,Condo/Co-op,389000,331
2021-02-01,2021-02-28,Washington,All Residential,513500,7426
2019-12-01,2019-12-31,Minnesota,Multi-Family (2-4 Unit),279500,120
2013-11-01,2013-11-30,Vermont,Condo/Co-op,164800,50
2015-09-01,2015-09-30,Columbia,Condo/Co-op,415000,320
2019-08-01,2019-08-31,Ohio,Townhouse,179100,145
2013-08-01,2013-08-31,Connecticut,Condo/Co-op,148600,328
2013-07-01,2013-07-31,Ohio,Townhouse,154800,75
2016-07-01,2016-07-31,South Carolina,Multi-Family (2-4 Unit),300000,12
2021-10-01,2021-10-31,Illinois,Condo/Co-op,218800,2752
2013-10-01,2013-10-31,Indiana,Multi-Family (2-4 Unit),47000,48
2014-03-01,2014-03-31,Vermont,Townhouse,200400,33
2016-05-01,2016-05-31,Ohio,Townhouse,118700,86
2021-05-01,2021-05-31,Minnesota,All Residential,317400,7690
2018-11-01,2018-11-30,Illinois,Multi-Family (2-4 Unit),225200,468
2015-06-01,2015-06-30,Washington,Condo/Co-op,243100,998
2014-02-01,2014-02-28,Vermont,Townhouse,235900,27
2017-07-01,2017-07-31,Nebraska,Condo/Co-op,137600,48
2015-02-01,2015-02-28,Iowa,Condo/Co-op,133300,96
2017-12-01,2017-12-31,Vermont,Condo/Co-op,196100,61
2021-06-01,2021-06-30,Kentucky,Single Family Residential,246500,3675
2021-11-01,2021-11-30,Vermont,Multi-Family (2-4 Unit),304400,43
2015-07-01,2015-07-31,Massachusetts,All Residential,369100,9742
2016-08-01,2016-08-31,Alaska,Multi-Family (2-4 Unit),432000,20
2014-03-01,2014-03-31,Utah,Single Family Residential,232700,2281
2015-01-01,2015-01-31,Arizona,Multi-Family (2-4 Unit),156000,47
2016-01-01,2016-01-31,Georgia,Condo/Co-op,154500,451
2022-02-01,2022-02-28,New Jersey,Multi-Family (2-4 Unit),497400,607
2015-11-01,2015-11-30,Wisconsin,Condo/Co-op,150600,409
2016-01-01,2016-01-31,New York,Townhouse,245400,166
2014-02-01,2014-02-28,Utah,Townhouse,197900,220
2017-12-01,2017-12-31,Arizona,Multi-Family (2-4 Unit),238800,65
2019-07-01,2019-07-31,Alabama,Multi-Family (2-4 Unit),209500,9
2016-10-01,2016-10-31,Arizona,Single Family Residential,238200,7466
2015-01-01,2015-01-31,New Hampshire,Single Family Residential,223900,711
2015-12-01,2015-12-31,West Virginia,Single Family Residential,166800,295
2015-10-01,2015-10-31,North Carolina,Townhouse,168300,588
2013-10-01,2013-10-31,South Dakota,Townhouse,188100,35
2013-11-01,2013-11-30,Oregon,All Residential,243700,3623
2017-03-01,2017-03-31,Kentucky,Single Family Residential,163300,2825
2020-09-01,2020-09-30,New Hampshire,Single Family Residential,347400,1919
2021-10-01,2021-10-31,Connecticut,Condo/Co-op,228300,1076
2017-04-01,2017-04-30,Idaho,All Residential,216600,2001
2013-03-01,2013-03-31,Idaho,Multi-Family (2-4 Unit),193400,28
2016-12-01,2016-12-31,Nebraska,Townhouse,188000,121
2019-02-01,2019-02-28,Kentucky,All Residential,173400,2207
2020-08-01,2020-08-31,Nevada,All Residential,334400,4838
2014-12-01,2014-12-31,Rhode Island,Single Family Residential,219400,806
2016-08-01,2016-08-31,Kentucky,All Residential,162800,3566
2019-09-01,2019-09-30,Illinois,Condo/Co-op,214100,2115
2021-08-01,2021-08-31,Maine,Single Family Residential,313400,1986
2012-04-01,2012-04-30,Oregon,All Residential,196900,3567
2020-07-01,2020-07-31,Wisconsin,Condo/Co-op,198200,836
2020-12-01,2020-12-31,South Dakota,Multi-Family (2-4 Unit),330000,12
2020-07-01,2020-07-31,Iowa,Single Family Residential,228300,1669
2019-08-01,2019-08-31,Alabama,Multi-Family (2-4 Unit),219600,11
2016-02-01,2016-02-29,Maine,Single Family Residential,110400,307
2013-11-01,2013-11-30,Virginia,Townhouse,335200,1027
2018-11-01,2018-11-30,Arizona,All Residential,264000,8347
2019-01-01,2019-01-31,North Carolina,Multi-Family (2-4 Unit),208400,30
2014-10-01,2014-10-31,Oklahoma,Single Family Residential,148800,3239
2022-04-01,2022-04-30,Tennessee,All Residential,386800,7995
2020-01-01,2020-01-31,Michigan,Condo/Co-op,176700,949
2017-06-01,2017-06-30,Iowa,All Residential,192500,1833
2020-10-01,2020-10-31,New York,Condo/Co-op,589900,2024
2019-09-01,2019-09-30,Minnesota,Single Family Residential,268900,5846
2018-04-01,2018-04-30,Missouri,Multi-Family (2-4 Unit),128100,107
2021-05-01,2021-05-31,Mississippi,Multi-Family (2-4 Unit),182600,2
2013-02-01,2013-02-28,New Hampshire,All Residential,182300,876
2018-07-01,2018-07-31,Oregon,All Residential,353600,5923
2017-01-01,2017-01-31,Connecticut,All Residential,233800,3113
2019-01-01,2019-01-31,Idaho,Single Family Residential,271200,1405
2012-07-01,2012-07-31,Pennsylvania,Multi-Family (2-4 Unit),94500,167
2014-01-01,2014-01-31,North Carolina,Townhouse,149200,263
2019-11-01,2019-11-30,Indiana,Single Family Residential,195100,3751
2015-08-01,2015-08-31,New York,Single Family Residential,240700,7828
2021-06-01,2021-06-30,Columbia,Townhouse,899000,401
2017-12-01,2017-12-31,Louisiana,All Residential,202100,2426
2019-09-01,2019-09-30,Alabama,Multi-Family (2-4 Unit),184300,11
2016-11-01,2016-11-30,Delaware,Single Family Residential,241800,525
2016-01-01,2016-01-31,Nevada,Condo/Co-op,97300,300
2014-11-01,2014-11-30,Massachusetts,Condo/Co-op,333700,905
2013-03-01,2013-03-31,Arizona,Single Family Residential,181000,8299
2019-05-01,2019-05-31,Vermont,Single Family Residential,253600,640
2020-07-01,2020-07-31,South Carolina,All Residential,268500,7288
2012-11-01,2012-11-30,Delaware,Townhouse,133400,116
2017-08-01,2017-08-31,Massachusetts,Condo/Co-op,406400,1473
2018-12-01,2018-12-31,New York,Multi-Family (2-4 Unit),566300,995
2012-08-01,2012-08-31,Idaho,Single Family Residential,155200,1581
2019-01-01,2019-01-31,North Carolina,Townhouse,207900,428
2013-11-01,2013-11-30,Maryland,Townhouse,187900,1418
2018-05-01,2018-05-31,Arizona,Townhouse,199600,1028
2013-02-01,2013-02-28,Nevada,Multi-Family (2-4 Unit),119400,44
2022-05-01,2022-05-31,Kansas,Multi-Family (2-4 Unit),286000,39
2019-03-01,2019-03-31,Nebraska,Condo/Co-op,212400,38
2015-05-01,2015-05-31,New Jersey,Single Family Residential,271500,3994
2021-01-01,2021-01-31,Washington,Townhouse,565600,486
2014-07-01,2014-07-31,Maryland,Single Family Residential,340600,4008
2021-09-01,2021-09-30,Indiana,Condo/Co-op,204400,304
2017-03-01,2017-03-31,Illinois,Multi-Family (2-4 Unit),207400,432
2018-08-01,2018-08-31,Virginia,Townhouse,341300,2179
2014-09-01,2014-09-30,Colorado,Condo/Co-op,181200,985
2016-01-01,2016-01-31,Oklahoma,Single Family Residential,150200,2116
2020-06-01,2020-06-30,Arizona,All Residential,306600,11747
2017-02-01,2017-02-28,Washington,Townhouse,450000,427
2017-09-01,2017-09-30,Texas,Townhouse,226600,666
2016-06-01,2016-06-30,Delaware,Multi-Family (2-4 Unit),105000,1
2019-12-01,2019-12-31,Virginia,Multi-Family (2-4 Unit),243700,57
2019-10-01,2019-10-31,South Dakota,Multi-Family (2-4 Unit),216500,2
2016-05-01,2016-05-31,California,Multi-Family (2-4 Unit),632000,1124
2018-10-01,2018-10-31,Arkansas,Multi-Family (2-4 Unit),191500,25
2018-05-01,2018-05-31,South Carolina,All Residential,229800,6073
2018-06-01,2018-06-30,Maryland,Townhouse,238700,2847
2019-04-01,2019-04-30,South Dakota,Condo/Co-op,141600,3
2015-07-01,2015-07-31,Michigan,Condo/Co-op,131900,1976
2018-02-01,2018-02-28,Idaho,Multi-Family (2-4 Unit),249100,21
2018-10-01,2018-10-31,Ohio,Townhouse,143800,67
2018-07-01,2018-07-31,Florida,Single Family Residential,269400,24878
2018-12-01,2018-12-31,Virginia,Single Family Residential,328600,5637
2017-04-01,2017-04-30,Hawaii,Condo/Co-op,423300,659
2013-11-01,2013-11-30,Ohio,Condo/Co-op,106800,866
2018-01-01,2018-01-31,Kansas,Condo/Co-op,166000,25
2021-08-01,2021-08-31,North Carolina,Townhouse,286900,1320
2013-11-01,2013-11-30,Kentucky,Single Family Residential,142600,2036
2015-03-01,2015-03-31,Washington,All Residential,309100,7778
2019-09-01,2019-09-30,Idaho,Townhouse,243500,62
2019-10-01,2019-10-31,Louisiana,All Residential,213700,2873
2015-11-01,2015-11-30,Pennsylvania,Multi-Family (2-4 Unit),119500,167
2012-03-01,2012-03-31,Kansas,Condo/Co-op,74500,26
2016-03-01,2016-03-31,Texas,All Residential,216000,22656
2016-10-01,2016-10-31,Colorado,Multi-Family (2-4 Unit),519500,66
2017-09-01,2017-09-30,Iowa,Multi-Family (2-4 Unit),145300,5
2016-09-01,2016-09-30,Colorado,Multi-Family (2-4 Unit),612500,58
2014-05-01,2014-05-31,New Hampshire,All Residential,214200,1680
2022-03-01,2022-03-31,Indiana,Condo/Co-op,215000,258
2021-08-01,2021-08-31,Ohio,Condo/Co-op,188300,1295
2020-09-01,2020-09-30,Alabama,Single Family Residential,238100,3956
2018-02-01,2018-02-28,Virginia,Condo/Co-op,236300,806
2012-06-01,2012-06-30,Washington,Single Family Residential,281900,5804
2015-04-01,2015-04-30,Iowa,Single Family Residential,165500,1039
2018-07-01,2018-07-31,Kansas,All Residential,220600,2512
2016-01-01,2016-01-31,Missouri,All Residential,141000,3262
2021-06-01,2021-06-30,California,Multi-Family (2-4 Unit),926400,1290
2017-02-01,2017-02-28,Nebraska,Multi-Family (2-4 Unit),87400,8
2021-03-01,2021-03-31,Alabama,Multi-Family (2-4 Unit),208100,13
2012-04-01,2012-04-30,Kentucky,Single Family Residential,140800,1935
2014-06-01,2014-06-30,Delaware,Townhouse,149800,147
2022-03-01,2022-03-31,California,Townhouse,848800,1788
2016-12-01,2016-12-31,Arkansas,Townhouse,94900,16
2019-09-01,2019-09-30,Delaware,Single Family Residential,265800,582
2015-08-01,2015-08-31,New Hampshire,Single Family Residential,241400,1740
2016-11-01,2016-11-30,West Virginia,Single Family Residential,170200,303
2019-05-01,2019-05-31,Delaware,Condo/Co-op,110800,45
2016-11-01,2016-11-30,New York,Multi-Family (2-4 Unit),498500,819
2021-09-01,2021-09-30,Kansas,Townhouse,203000,85
2014-02-01,2014-02-28,Illinois,All Residential,140500,7646
2017-04-01,2017-04-30,Kentucky,Townhouse,161100,57
2012-09-01,2012-09-30,Massachusetts,Condo/Co-op,294900,966
2019-07-01,2019-07-31,Florida,Multi-Family (2-4 Unit),273100,357
2012-02-01,2012-02-29,Arizona,Townhouse,94700,650
2020-12-01,2020-12-31,Alabama,Single Family Residential,235900,3720
2021-10-01,2021-10-31,Kansas,Multi-Family (2-4 Unit),179600,31
2014-10-01,2014-10-31,Washington,All Residential,301600,8198
2013-12-01,2013-12-31,Mississippi,Single Family Residential,131300,895
2017-05-01,2017-05-31,Nebraska,Condo/Co-op,142200,56
2014-03-01,2014-03-31,South Carolina,Single Family Residential,193200,2646
2018-07-01,2018-07-31,Kentucky,Townhouse,152100,57
2019-09-01,2019-09-30,Oklahoma,Townhouse,128200,20
2012-02-01,2012-02-29,Oregon,All Residential,183500,2654
2015-10-01,2015-10-31,Alabama,Townhouse,132900,72
2014-09-01,2014-09-30,Rhode Island,Single Family Residential,213800,846
2020-01-01,2020-01-31,Florida,Condo/Co-op,193400,5614
2018-05-01,2018-05-31,Kentucky,Multi-Family (2-4 Unit),150500,26
2012-07-01,2012-07-31,Wisconsin,Multi-Family (2-4 Unit),55900,35
2016-09-01,2016-09-30,Washington,Single Family Residential,349000,9524
2012-07-01,2012-07-31,Alaska,All Residential,256500,595
2015-10-01,2015-10-31,Georgia,Condo/Co-op,170400,603
2020-06-01,2020-06-30,West Virginia,Multi-Family (2-4 Unit),150000,3
2015-02-01,2015-02-28,Connecticut,All Residential,175300,1026
2018-04-01,2018-04-30,Wisconsin,Single Family Residential,192700,5490
2012-01-01,2012-01-31,Texas,Townhouse,156100,268
2016-03-01,2016-03-31,Wisconsin,Single Family Residential,163600,4438
2013-06-01,2013-06-30,Idaho,All Residential,175300,1890
2022-02-01,2022-02-28,New Hampshire,All Residential,377400,993
2021-01-01,2021-01-31,Georgia,Townhouse,246300,926
2022-02-01,2022-02-28,Arkansas,Multi-Family (2-4 Unit),293700,43
2019-05-01,2019-05-31,South Carolina,Condo/Co-op,153900,780
2015-09-01,2015-09-30,Wisconsin,Condo/Co-op,148400,173
2016-12-01,2016-12-31,California,Condo/Co-op,407900,4473
2018-04-01,2018-04-30,South Carolina,Condo/Co-op,150000,752
2012-11-01,2012-11-30,South Dakota,Single Family Residential,149600,224
2014-06-01,2014-06-30,Arkansas,Single Family Residential,149800,2021
2014-03-01,2014-03-31,Virginia,Condo/Co-op,252000,570
2017-01-01,2017-01-31,Oklahoma,Multi-Family (2-4 Unit),107200,23
2019-10-01,2019-10-31,Massachusetts,Townhouse,370600,695
2013-05-01,2013-05-31,West Virginia,Multi-Family (2-4 Unit),110000,5
2017-05-01,2017-05-31,California,Multi-Family (2-4 Unit),718000,1148
2017-04-01,2017-04-30,Vermont,Multi-Family (2-4 Unit),137900,9
2020-12-01,2020-12-31,Michigan,Single Family Residential,204900,10198
2019-04-01,2019-04-30,New Mexico,Single Family Residential,375200,178
2021-06-01,2021-06-30,Virginia,Condo/Co-op,288600,1585
2021-08-01,2021-08-31,Connecticut,Multi-Family (2-4 Unit),290600,407
2016-03-01,2016-03-31,Indiana,Single Family Residential,152900,3602
2017-07-01,2017-07-31,Arkansas,Multi-Family (2-4 Unit),134700,30
2018-05-01,2018-05-31,Georgia,Multi-Family (2-4 Unit),155000,74
2019-10-01,2019-10-31,New York,Multi-Family (2-4 Unit),572400,995
2021-02-01,2021-02-28,North Carolina,Single Family Residential,289300,7919
2016-12-01,2016-12-31,South Carolina,All Residential,212000,4501
2012-11-01,2012-11-30,South Dakota,All Residential,150000,246
2014-02-01,2014-02-28,Washington,Multi-Family (2-4 Unit),315700,64
2017-11-01,2017-11-30,New Hampshire,Condo/Co-op,210900,229
2020-12-01,2020-12-31,Wisconsin,Multi-Family (2-4 Unit),170500,402
2016-10-01,2016-10-31,Kansas,Townhouse,154500,73
2020-03-01,2020-03-31,Mississippi,Single Family Residential,194600,1213
2014-07-01,2014-07-31,Alaska,Condo/Co-op,189900,116
2021-12-01,2021-12-31,Maine,Townhouse,664000,1
2018-06-01,2018-06-30,Kansas,Townhouse,179300,103
2020-09-01,2020-09-30,Ohio,Single Family Residential,198600,12933
2016-11-01,2016-11-30,Rhode Island,Single Family Residential,259300,902
2013-08-01,2013-08-31,New Mexico,All Residential,304100,225
2018-09-01,2018-09-30,Massachusetts,All Residential,410300,6763
2018-05-01,2018-05-31,Alaska,Single Family Residential,294400,548
2018-08-01,2018-08-31,New Jersey,All Residential,321100,13252
2016-03-01,2016-03-31,New Jersey,Multi-Family (2-4 Unit),208200,116
2013-04-01,2013-04-30,Massachusetts,All Residential,305000,5328
2014-04-01,2014-04-30,Florida,Condo/Co-op,136400,6841
2022-02-01,2022-02-28,New Jersey,All Residential,408400,7296
2021-06-01,2021-06-30,Florida,Townhouse,275500,3861
2017-06-01,2017-06-30,Michigan,Multi-Family (2-4 Unit),105900,180
2014-06-01,2014-06-30,Massachusetts,All Residential,362500,8353
2021-12-01,2021-12-31,Vermont,Single Family Residential,340100,686
2017-01-01,2017-01-31,New Jersey,Multi-Family (2-4 Unit),279600,575
2014-07-01,2014-07-31,Colorado,Single Family Residential,303700,6671
2012-10-01,2012-10-31,Illinois,Single Family Residential,152400,7036
2014-09-01,2014-09-30,Pennsylvania,Multi-Family (2-4 Unit),92600,202
2018-02-01,2018-02-28,Colorado,All Residential,400900,4761
2019-06-01,2019-06-30,Oregon,Condo/Co-op,279800,354
2018-07-01,2018-07-31,South Dakota,Townhouse,204100,52
2018-10-01,2018-10-31,Washington,Single Family Residential,415300,8378
2020-07-01,2020-07-31,Alabama,Multi-Family (2-4 Unit),256300,19
2021-08-01,2021-08-31,Delaware,Multi-Family (2-4 Unit),216000,11
2014-12-01,2014-12-31,Colorado,All Residential,300900,5921
2012-09-01,2012-09-30,South Carolina,All Residential,163500,2467
2018-07-01,2018-07-31,Pennsylvania,Townhouse,186100,3163
2020-04-01,2020-04-30,Oklahoma,Single Family Residential,183800,3226
2018-01-01,2018-01-31,Rhode Island,Multi-Family (2-4 Unit),233400,138
2014-05-01,2014-05-31,New Jersey,Single Family Residential,266000,3588
2015-03-01,2015-03-31,Maine,Multi-Family (2-4 Unit),61400,7
2014-10-01,2014-10-31,Minnesota,Single Family Residential,197800,5305
2015-06-01,2015-06-30,Illinois,All Residential,211100,17351
2016-01-01,2016-01-31,Florida,All Residential,194900,21600
2015-10-01,2015-10-31,Wisconsin,Townhouse,182500,4
2020-08-01,2020-08-31,Connecticut,Single Family Residential,379500,4851
2016-07-01,2016-07-31,Wisconsin,Townhouse,155600,122
2013-12-01,2013-12-31,Florida,All Residential,168900,24323
2016-04-01,2016-04-30,Connecticut,Condo/Co-op,168300,684
2016-08-01,2016-08-31,Kentucky,Multi-Family (2-4 Unit),115700,45
2019-03-01,2019-03-31,Texas,Townhouse,254200,653
2019-10-01,2019-10-31,West Virginia,Townhouse,170600,63
2016-06-01,2016-06-30,South Carolina,Multi-Family (2-4 Unit),280000,17
2014-02-01,2014-02-28,Rhode Island,Multi-Family (2-4 Unit),145400,77
2014-07-01,2014-07-31,Kansas,Condo/Co-op,90800,29
2012-11-01,2012-11-30,Utah,Multi-Family (2-4 Unit),196300,31
2014-07-01,2014-07-31,Washington,All Residential,313700,8783
2020-11-01,2020-11-30,Florida,Multi-Family (2-4 Unit),327300,359
2022-04-01,2022-04-30,Nevada,Condo/Co-op,260200,675
2014-07-01,2014-07-31,Rhode Island,All Residential,219800,1193
2014-12-01,2014-12-31,Oklahoma,Multi-Family (2-4 Unit),102600,16
2012-05-01,2012-05-31,Indiana,All Residential,131800,3559
2020-11-01,2020-11-30,Iowa,Multi-Family (2-4 Unit),155000,9
2014-03-01,2014-03-31,Hawaii,Condo/Co-op,358000,548
2014-12-01,2014-12-31,Texas,Multi-Family (2-4 Unit),173400,191
2019-04-01,2019-04-30,Indiana,Condo/Co-op,153100,312
2020-09-01,2020-09-30,Kansas,Townhouse,225400,87
2021-09-01,2021-09-30,Alaska,Multi-Family (2-4 Unit),432700,45
2017-05-01,2017-05-31,Arizona,All Residential,240000,12024
2021-03-01,2021-03-31,Arkansas,Townhouse,167800,44
2013-04-01,2013-04-30,Pennsylvania,Condo/Co-op,182000,476
2019-02-01,2019-02-28,Columbia,Multi-Family (2-4 Unit),935000,12
2016-09-01,2016-09-30,New York,Condo/Co-op,572100,2108
2021-04-01,2021-04-30,New Hampshire,Condo/Co-op,302400,249
2019-05-01,2019-05-31,Tennessee,Single Family Residential,262500,7842
2012-08-01,2012-08-31,Iowa,Single Family Residential,156200,940
2021-01-01,2021-01-31,Minnesota,Single Family Residential,287800,3668
2013-11-01,2013-11-30,Colorado,All Residential,265800,5202
2020-07-01,2020-07-31,Washington,All Residential,483900,12512
2012-05-01,2012-05-31,Missouri,All Residential,122400,1725
2016-10-01,2016-10-31,Georgia,Condo/Co-op,180900,649
2014-02-01,2014-02-28,South Dakota,Multi-Family (2-4 Unit),122000,3
2019-10-01,2019-10-31,Wisconsin,Multi-Family (2-4 Unit),149500,373
2018-09-01,2018-09-30,New Hampshire,All Residential,270000,2114
2017-03-01,2017-03-31,South Dakota,All Residential,191000,354
2013-04-01,2013-04-30,Connecticut,Condo/Co-op,153200,240
2018-09-01,2018-09-30,Minnesota,All Residential,241200,7107
2014-08-01,2014-08-31,Maryland,Condo/Co-op,180700,570
2018-10-01,2018-10-31,South Dakota,Multi-Family (2-4 Unit),153000,2
2013-02-01,2013-02-28,Massachusetts,Single Family Residential,286000,2203
2020-07-01,2020-07-31,Louisiana,Townhouse,165900,71
2013-01-01,2013-01-31,Alabama,Townhouse,98700,42
2017-08-01,2017-08-31,Rhode Island,Single Family Residential,271700,1170
2015-03-01,2015-03-31,New York,Townhouse,149800,128
2014-11-01,2014-11-30,Georgia,Condo/Co-op,151800,490
2018-01-01,2018-01-31,New York,Single Family Residential,322700,6646
